Date,family,sales,onpromotion
13/10/2013,DELI,49.257,0
13/10/2013,EGGS,77,0
13/10/2013,FROZEN FOODS,44,0
13/10/2013,GROCERY I,850,0
13/10/2013,GROCERY II,24,0
13/10/2013,HARDWARE,0,0
13/10/2013,HOME AND KITCHEN I,0,0
13/10/2013,HOME AND KITCHEN II,0,0
13/10/2013,HOME APPLIANCES,0,0
13/10/2013,HOME CARE,0,0
13/10/2013,LADIESWEAR,0,0
13/10/2013,LAWN AND GARDEN,7,0
13/10/2013,LINGERIE,2,0
13/10/2013,"LIQUOR,WINE,BEER",0,0
13/10/2013,MAGAZINES,0,0
13/10/2013,MEATS,121.356,0
13/10/2013,PERSONAL CARE,44,0
13/10/2013,PET SUPPLIES,0,0
13/10/2013,PLAYERS AND ELECTRONICS,0,0
13/10/2013,POULTRY,49.942,0
13/10/2013,PREPARED FOODS,28,0
13/10/2013,PRODUCE,0,0
13/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
13/10/2013,SEAFOOD,10.483,0
14/10/2013,AUTOMOTIVE,1,0
14/10/2013,BABY CARE,0,0
14/10/2013,BEAUTY,0,0
14/10/2013,BEVERAGES,926,0
14/10/2013,BOOKS,0,0
14/10/2013,BREAD/BAKERY,343.652,0
14/10/2013,CELEBRATION,0,0
14/10/2013,CLEANING,528,0
14/10/2013,DAIRY,380,0
14/10/2013,DELI,133.965,0
14/10/2013,EGGS,144,0
14/10/2013,FROZEN FOODS,56,0
14/10/2013,GROCERY I,2031,0
14/10/2013,GROCERY II,13,0
14/10/2013,HARDWARE,2,0
14/10/2013,HOME AND KITCHEN I,0,0
14/10/2013,HOME AND KITCHEN II,0,0
14/10/2013,HOME APPLIANCES,1,0
14/10/2013,HOME CARE,0,0
14/10/2013,LADIESWEAR,0,0
14/10/2013,LAWN AND GARDEN,3,0
14/10/2013,LINGERIE,11,0
14/10/2013,"LIQUOR,WINE,BEER",60,0
14/10/2013,MAGAZINES,0,0
14/10/2013,MEATS,324.527,0
14/10/2013,PERSONAL CARE,67,0
14/10/2013,PET SUPPLIES,0,0
14/10/2013,PLAYERS AND ELECTRONICS,0,0
14/10/2013,POULTRY,187.783,0
14/10/2013,PREPARED FOODS,55,0
14/10/2013,PRODUCE,0,0
14/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
14/10/2013,SEAFOOD,17.243,0
15/10/2013,AUTOMOTIVE,1,0
15/10/2013,BABY CARE,0,0
15/10/2013,BEAUTY,2,0
15/10/2013,BEVERAGES,725,0
15/10/2013,BOOKS,0,0
15/10/2013,BREAD/BAKERY,341.785,0
15/10/2013,CELEBRATION,0,0
15/10/2013,CLEANING,545,0
15/10/2013,DAIRY,409,0
15/10/2013,DELI,146.434,0
15/10/2013,EGGS,132,0
15/10/2013,FROZEN FOODS,137,0
15/10/2013,GROCERY I,2082,0
15/10/2013,GROCERY II,24,0
15/10/2013,HARDWARE,1,0
15/10/2013,HOME AND KITCHEN I,0,0
15/10/2013,HOME AND KITCHEN II,0,0
15/10/2013,HOME APPLIANCES,0,0
15/10/2013,HOME CARE,0,0
15/10/2013,LADIESWEAR,0,0
15/10/2013,LAWN AND GARDEN,11,0
15/10/2013,LINGERIE,13,0
15/10/2013,"LIQUOR,WINE,BEER",121,0
15/10/2013,MAGAZINES,0,0
15/10/2013,MEATS,416.742,0
15/10/2013,PERSONAL CARE,93,0
15/10/2013,PET SUPPLIES,0,0
15/10/2013,PLAYERS AND ELECTRONICS,0,0
15/10/2013,POULTRY,134.861,0
15/10/2013,PREPARED FOODS,68,0
15/10/2013,PRODUCE,5,0
15/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
15/10/2013,SEAFOOD,14.388,0
16/10/2013,AUTOMOTIVE,3,0
16/10/2013,BABY CARE,0,0
16/10/2013,BEAUTY,0,0
16/10/2013,BEVERAGES,884,0
16/10/2013,BOOKS,0,0
16/10/2013,BREAD/BAKERY,370.073,0
16/10/2013,CELEBRATION,0,0
16/10/2013,CLEANING,915,0
16/10/2013,DAIRY,458,0
16/10/2013,DELI,122.602,0
16/10/2013,EGGS,156,0
16/10/2013,FROZEN FOODS,129.495,0
16/10/2013,GROCERY I,2155,0
16/10/2013,GROCERY II,36,0
16/10/2013,HARDWARE,0,0
16/10/2013,HOME AND KITCHEN I,0,0
16/10/2013,HOME AND KITCHEN II,0,0
16/10/2013,HOME APPLIANCES,0,0
16/10/2013,HOME CARE,0,0
16/10/2013,LADIESWEAR,0,0
16/10/2013,LAWN AND GARDEN,10,0
16/10/2013,LINGERIE,9,0
16/10/2013,"LIQUOR,WINE,BEER",68,0
16/10/2013,MAGAZINES,0,0
16/10/2013,MEATS,340.812,0
16/10/2013,PERSONAL CARE,161,0
16/10/2013,PET SUPPLIES,0,0
16/10/2013,PLAYERS AND ELECTRONICS,0,0
16/10/2013,POULTRY,196.968,0
16/10/2013,PREPARED FOODS,74.836,0
16/10/2013,PRODUCE,1,0
16/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
16/10/2013,SEAFOOD,30.251,0
17/10/2013,AUTOMOTIVE,3,0
17/10/2013,BABY CARE,0,0
17/10/2013,BEAUTY,3,0
17/10/2013,BEVERAGES,897,0
17/10/2013,BOOKS,0,0
17/10/2013,BREAD/BAKERY,338.45898,0
17/10/2013,CELEBRATION,0,0
17/10/2013,CLEANING,591,0
17/10/2013,DAIRY,458,0
17/10/2013,DELI,113.438,0
17/10/2013,EGGS,151,0
17/10/2013,FROZEN FOODS,101,0
17/10/2013,GROCERY I,2129,0
17/10/2013,GROCERY II,25,0
17/10/2013,HARDWARE,2,0
17/10/2013,HOME AND KITCHEN I,0,0
17/10/2013,HOME AND KITCHEN II,0,0
17/10/2013,HOME APPLIANCES,1,0
17/10/2013,HOME CARE,0,0
17/10/2013,LADIESWEAR,0,0
17/10/2013,LAWN AND GARDEN,2,0
17/10/2013,LINGERIE,11,0
17/10/2013,"LIQUOR,WINE,BEER",88,0
17/10/2013,MAGAZINES,0,0
17/10/2013,MEATS,355.603,0
17/10/2013,PERSONAL CARE,114,0
17/10/2013,PET SUPPLIES,0,0
17/10/2013,PLAYERS AND ELECTRONICS,0,0
17/10/2013,POULTRY,166.07,0
17/10/2013,PREPARED FOODS,85.363,0
17/10/2013,PRODUCE,1,0
17/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
17/10/2013,SEAFOOD,21.832,0
18/10/2013,AUTOMOTIVE,2,0
18/10/2013,BABY CARE,0,0
18/10/2013,BEAUTY,1,0
18/10/2013,BEVERAGES,932,0
18/10/2013,BOOKS,0,0
18/10/2013,BREAD/BAKERY,303.057,0
18/10/2013,CELEBRATION,0,0
18/10/2013,CLEANING,744,0
18/10/2013,DAIRY,366,0
18/10/2013,DELI,121.234,0
18/10/2013,EGGS,136,0
18/10/2013,FROZEN FOODS,105,0
18/10/2013,GROCERY I,2014,0
18/10/2013,GROCERY II,17,0
18/10/2013,HARDWARE,0,0
18/10/2013,HOME AND KITCHEN I,0,0
18/10/2013,HOME AND KITCHEN II,0,0
18/10/2013,HOME APPLIANCES,0,0
18/10/2013,HOME CARE,0,0
18/10/2013,LADIESWEAR,0,0
18/10/2013,LAWN AND GARDEN,7,0
18/10/2013,LINGERIE,2,0
18/10/2013,"LIQUOR,WINE,BEER",142,0
18/10/2013,MAGAZINES,0,0
18/10/2013,MEATS,881.164,0
18/10/2013,PERSONAL CARE,104,0
18/10/2013,PET SUPPLIES,0,0
18/10/2013,PLAYERS AND ELECTRONICS,0,0
18/10/2013,POULTRY,568.221,0
18/10/2013,PREPARED FOODS,75.627,0
18/10/2013,PRODUCE,5,0
18/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
18/10/2013,SEAFOOD,38.95,0
19/10/2013,AUTOMOTIVE,1,0
19/10/2013,BABY CARE,0,0
19/10/2013,BEAUTY,3,0
19/10/2013,BEVERAGES,981,0
19/10/2013,BOOKS,0,0
19/10/2013,BREAD/BAKERY,284.712,0
19/10/2013,CELEBRATION,0,0
19/10/2013,CLEANING,641,0
19/10/2013,DAIRY,449,0
19/10/2013,DELI,122.502,0
19/10/2013,EGGS,174,0
19/10/2013,FROZEN FOODS,127,0
19/10/2013,GROCERY I,2082,0
19/10/2013,GROCERY II,29,0
19/10/2013,HARDWARE,0,0
19/10/2013,HOME AND KITCHEN I,0,0
19/10/2013,HOME AND KITCHEN II,0,0
19/10/2013,HOME APPLIANCES,0,0
19/10/2013,HOME CARE,0,0
19/10/2013,LADIESWEAR,0,0
19/10/2013,LAWN AND GARDEN,3,0
19/10/2013,LINGERIE,10,0
19/10/2013,"LIQUOR,WINE,BEER",118,0
19/10/2013,MAGAZINES,0,0
19/10/2013,MEATS,327.54102,0
19/10/2013,PERSONAL CARE,128,0
19/10/2013,PET SUPPLIES,0,0
19/10/2013,PLAYERS AND ELECTRONICS,0,0
19/10/2013,POULTRY,137.548,0
19/10/2013,PREPARED FOODS,85.608,0
19/10/2013,PRODUCE,2,0
19/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
19/10/2013,SEAFOOD,17.4,0
20/10/2013,AUTOMOTIVE,1,0
20/10/2013,BABY CARE,0,0
20/10/2013,BEAUTY,3,0
20/10/2013,BEVERAGES,455,0
20/10/2013,BOOKS,0,0
20/10/2013,BREAD/BAKERY,118.879,0
20/10/2013,CELEBRATION,0,0
20/10/2013,CLEANING,275,0
20/10/2013,DAIRY,180,0
20/10/2013,DELI,63.786,0
20/10/2013,EGGS,81,0
20/10/2013,FROZEN FOODS,72,0
20/10/2013,GROCERY I,946,0
20/10/2013,GROCERY II,6,0
20/10/2013,HARDWARE,0,0
20/10/2013,HOME AND KITCHEN I,0,0
20/10/2013,HOME AND KITCHEN II,0,0
20/10/2013,HOME APPLIANCES,0,0
20/10/2013,HOME CARE,0,0
20/10/2013,LADIESWEAR,0,0
20/10/2013,LAWN AND GARDEN,4,0
20/10/2013,LINGERIE,2,0
20/10/2013,"LIQUOR,WINE,BEER",0,0
20/10/2013,MAGAZINES,0,0
20/10/2013,MEATS,146.017,0
20/10/2013,PERSONAL CARE,53,0
20/10/2013,PET SUPPLIES,0,0
20/10/2013,PLAYERS AND ELECTRONICS,0,0
20/10/2013,POULTRY,67.633995,0
20/10/2013,PREPARED FOODS,41.502,0
20/10/2013,PRODUCE,18,0
20/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
20/10/2013,SEAFOOD,16.492,0
21/10/2013,AUTOMOTIVE,1,0
21/10/2013,BABY CARE,0,0
21/10/2013,BEAUTY,2,0
21/10/2013,BEVERAGES,1030,0
21/10/2013,BOOKS,0,0
21/10/2013,BREAD/BAKERY,329.534,0
21/10/2013,CELEBRATION,0,0
21/10/2013,CLEANING,670,0
21/10/2013,DAIRY,440,0
21/10/2013,DELI,124.342,0
21/10/2013,EGGS,176,0
21/10/2013,FROZEN FOODS,87,0
21/10/2013,GROCERY I,2094,0
21/10/2013,GROCERY II,16,0
21/10/2013,HARDWARE,2,0
21/10/2013,HOME AND KITCHEN I,0,0
21/10/2013,HOME AND KITCHEN II,0,0
21/10/2013,HOME APPLIANCES,1,0
21/10/2013,HOME CARE,0,0
21/10/2013,LADIESWEAR,0,0
21/10/2013,LAWN AND GARDEN,7,0
21/10/2013,LINGERIE,11,0
21/10/2013,"LIQUOR,WINE,BEER",70,0
21/10/2013,MAGAZINES,0,0
21/10/2013,MEATS,396.516,0
21/10/2013,PERSONAL CARE,116,0
21/10/2013,PET SUPPLIES,0,0
21/10/2013,PLAYERS AND ELECTRONICS,0,0
21/10/2013,POULTRY,206.173,0
21/10/2013,PREPARED FOODS,70.183,0
21/10/2013,PRODUCE,5,0
21/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
21/10/2013,SEAFOOD,24.711,0
22/10/2013,AUTOMOTIVE,7,0
22/10/2013,BABY CARE,0,0
22/10/2013,BEAUTY,2,0
22/10/2013,BEVERAGES,801,0
22/10/2013,BOOKS,0,0
22/10/2013,BREAD/BAKERY,237.801,0
22/10/2013,CELEBRATION,0,0
22/10/2013,CLEANING,584,0
22/10/2013,DAIRY,395,0
22/10/2013,DELI,101.97,0
22/10/2013,EGGS,145,0
22/10/2013,FROZEN FOODS,75,0
22/10/2013,GROCERY I,2416,0
22/10/2013,GROCERY II,33,0
22/10/2013,HARDWARE,2,0
22/10/2013,HOME AND KITCHEN I,0,0
22/10/2013,HOME AND KITCHEN II,0,0
22/10/2013,HOME APPLIANCES,1,0
22/10/2013,HOME CARE,0,0
22/10/2013,LADIESWEAR,0,0
22/10/2013,LAWN AND GARDEN,6,0
22/10/2013,LINGERIE,12,0
22/10/2013,"LIQUOR,WINE,BEER",58,0
22/10/2013,MAGAZINES,0,0
22/10/2013,MEATS,247.04001,0
22/10/2013,PERSONAL CARE,58,0
22/10/2013,PET SUPPLIES,0,0
22/10/2013,PLAYERS AND ELECTRONICS,0,0
22/10/2013,POULTRY,139.09799,0
22/10/2013,PREPARED FOODS,89.807,0
22/10/2013,PRODUCE,0,0
22/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
22/10/2013,SEAFOOD,18.492,0
23/10/2013,AUTOMOTIVE,1,0
23/10/2013,BABY CARE,0,0
23/10/2013,BEAUTY,1,0
23/10/2013,BEVERAGES,835,0
23/10/2013,BOOKS,0,0
23/10/2013,BREAD/BAKERY,329.456,0
23/10/2013,CELEBRATION,0,0
23/10/2013,CLEANING,884,0
23/10/2013,DAIRY,568,0
23/10/2013,DELI,134.782,0
23/10/2013,EGGS,172,0
23/10/2013,FROZEN FOODS,118,0
23/10/2013,GROCERY I,2437,0
23/10/2013,GROCERY II,15,0
23/10/2013,HARDWARE,0,0
23/10/2013,HOME AND KITCHEN I,0,0
23/10/2013,HOME AND KITCHEN II,0,0
23/10/2013,HOME APPLIANCES,1,0
23/10/2013,HOME CARE,0,0
23/10/2013,LADIESWEAR,0,0
23/10/2013,LAWN AND GARDEN,11,0
23/10/2013,LINGERIE,4,0
23/10/2013,"LIQUOR,WINE,BEER",107,0
23/10/2013,MAGAZINES,0,0
23/10/2013,MEATS,390.713,0
23/10/2013,PERSONAL CARE,97,0
23/10/2013,PET SUPPLIES,0,0
23/10/2013,PLAYERS AND ELECTRONICS,0,0
23/10/2013,POULTRY,216.15799,0
23/10/2013,PREPARED FOODS,87.839,0
23/10/2013,PRODUCE,4,0
23/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
23/10/2013,SEAFOOD,15.463,0
24/10/2013,AUTOMOTIVE,2,0
24/10/2013,BABY CARE,0,0
24/10/2013,BEAUTY,1,0
24/10/2013,BEVERAGES,816,0
24/10/2013,BOOKS,0,0
24/10/2013,BREAD/BAKERY,330.421,0
24/10/2013,CELEBRATION,0,0
24/10/2013,CLEANING,547,0
24/10/2013,DAIRY,410,0
24/10/2013,DELI,100.576004,0
24/10/2013,EGGS,116,0
24/10/2013,FROZEN FOODS,108,0
24/10/2013,GROCERY I,1767,0
24/10/2013,GROCERY II,11,0
24/10/2013,HARDWARE,0,0
24/10/2013,HOME AND KITCHEN I,0,0
24/10/2013,HOME AND KITCHEN II,0,0
24/10/2013,HOME APPLIANCES,0,0
24/10/2013,HOME CARE,0,0
24/10/2013,LADIESWEAR,0,0
24/10/2013,LAWN AND GARDEN,2,0
24/10/2013,LINGERIE,18,0
24/10/2013,"LIQUOR,WINE,BEER",85,0
24/10/2013,MAGAZINES,0,0
24/10/2013,MEATS,240.359,0
24/10/2013,PERSONAL CARE,61,0
24/10/2013,PET SUPPLIES,0,0
24/10/2013,PLAYERS AND ELECTRONICS,0,0
24/10/2013,POULTRY,108.292,0
24/10/2013,PREPARED FOODS,70.795,0
24/10/2013,PRODUCE,0,0
24/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
24/10/2013,SEAFOOD,17.36,0
25/10/2013,AUTOMOTIVE,2,0
25/10/2013,BABY CARE,0,0
25/10/2013,BEAUTY,3,0
25/10/2013,BEVERAGES,900,0
25/10/2013,BOOKS,0,0
25/10/2013,BREAD/BAKERY,305.473,0
25/10/2013,CELEBRATION,0,0
25/10/2013,CLEANING,563,0
25/10/2013,DAIRY,403,0
25/10/2013,DELI,130.767,0
25/10/2013,EGGS,160,0
25/10/2013,FROZEN FOODS,150,0
25/10/2013,GROCERY I,1946,0
25/10/2013,GROCERY II,11,0
25/10/2013,HARDWARE,2,0
25/10/2013,HOME AND KITCHEN I,0,0
25/10/2013,HOME AND KITCHEN II,0,0
25/10/2013,HOME APPLIANCES,0,0
25/10/2013,HOME CARE,0,0
25/10/2013,LADIESWEAR,0,0
25/10/2013,LAWN AND GARDEN,7,0
25/10/2013,LINGERIE,22,0
25/10/2013,"LIQUOR,WINE,BEER",187,0
25/10/2013,MAGAZINES,0,0
25/10/2013,MEATS,883.301,0
25/10/2013,PERSONAL CARE,71,0
25/10/2013,PET SUPPLIES,0,0
25/10/2013,PLAYERS AND ELECTRONICS,0,0
25/10/2013,POULTRY,453.022,0
25/10/2013,PREPARED FOODS,39,0
25/10/2013,PRODUCE,4,0
25/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
25/10/2013,SEAFOOD,19.467001,0
26/10/2013,AUTOMOTIVE,1,0
26/10/2013,BABY CARE,0,0
26/10/2013,BEAUTY,3,0
26/10/2013,BEVERAGES,967,0
26/10/2013,BOOKS,0,0
26/10/2013,BREAD/BAKERY,276.021,0
26/10/2013,CELEBRATION,0,0
26/10/2013,CLEANING,530,0
26/10/2013,DAIRY,541,0
26/10/2013,DELI,106.995,0
26/10/2013,EGGS,160,0
26/10/2013,FROZEN FOODS,172,0
26/10/2013,GROCERY I,1965,0
26/10/2013,GROCERY II,13,0
26/10/2013,HARDWARE,4,0
26/10/2013,HOME AND KITCHEN I,0,0
26/10/2013,HOME AND KITCHEN II,0,0
26/10/2013,HOME APPLIANCES,0,0
26/10/2013,HOME CARE,0,0
26/10/2013,LADIESWEAR,0,0
26/10/2013,LAWN AND GARDEN,3,0
26/10/2013,LINGERIE,4,0
26/10/2013,"LIQUOR,WINE,BEER",107,0
26/10/2013,MAGAZINES,0,0
26/10/2013,MEATS,361.76,0
26/10/2013,PERSONAL CARE,90,0
26/10/2013,PET SUPPLIES,0,0
26/10/2013,PLAYERS AND ELECTRONICS,0,0
26/10/2013,POULTRY,137.035,0
26/10/2013,PREPARED FOODS,76.151,0
26/10/2013,PRODUCE,13,0
26/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
26/10/2013,SEAFOOD,27.973,0
27/10/2013,AUTOMOTIVE,0,0
27/10/2013,BABY CARE,0,0
27/10/2013,BEAUTY,0,0
27/10/2013,BEVERAGES,424,0
27/10/2013,BOOKS,0,0
27/10/2013,BREAD/BAKERY,139.59601,0
27/10/2013,CELEBRATION,0,0
27/10/2013,CLEANING,262,0
27/10/2013,DAIRY,196,0
27/10/2013,DELI,59.631,0
27/10/2013,EGGS,106,0
27/10/2013,FROZEN FOODS,53.662,0
27/10/2013,GROCERY I,1027,0
27/10/2013,GROCERY II,6,0
27/10/2013,HARDWARE,0,0
27/10/2013,HOME AND KITCHEN I,0,0
27/10/2013,HOME AND KITCHEN II,0,0
27/10/2013,HOME APPLIANCES,0,0
27/10/2013,HOME CARE,0,0
27/10/2013,LADIESWEAR,0,0
27/10/2013,LAWN AND GARDEN,1,0
27/10/2013,LINGERIE,3,0
27/10/2013,"LIQUOR,WINE,BEER",0,0
27/10/2013,MAGAZINES,0,0
27/10/2013,MEATS,156.549,0
27/10/2013,PERSONAL CARE,57,0
27/10/2013,PET SUPPLIES,0,0
27/10/2013,PLAYERS AND ELECTRONICS,0,0
27/10/2013,POULTRY,99.17,0
27/10/2013,PREPARED FOODS,53.111,0
27/10/2013,PRODUCE,19,0
27/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
27/10/2013,SEAFOOD,13.356,0
28/10/2013,AUTOMOTIVE,0,0
28/10/2013,BABY CARE,0,0
28/10/2013,BEAUTY,1,0
28/10/2013,BEVERAGES,902,0
28/10/2013,BOOKS,0,0
28/10/2013,BREAD/BAKERY,302.064,0
28/10/2013,CELEBRATION,0,0
28/10/2013,CLEANING,591,0
28/10/2013,DAIRY,410,0
28/10/2013,DELI,122.311,0
28/10/2013,EGGS,149,0
28/10/2013,FROZEN FOODS,105,0
28/10/2013,GROCERY I,2046,0
28/10/2013,GROCERY II,20,0
28/10/2013,HARDWARE,1,0
28/10/2013,HOME AND KITCHEN I,0,0
28/10/2013,HOME AND KITCHEN II,0,0
28/10/2013,HOME APPLIANCES,0,0
28/10/2013,HOME CARE,0,0
28/10/2013,LADIESWEAR,0,0
28/10/2013,LAWN AND GARDEN,9,0
28/10/2013,LINGERIE,22,0
28/10/2013,"LIQUOR,WINE,BEER",49,0
28/10/2013,MAGAZINES,0,0
28/10/2013,MEATS,310.758,0
28/10/2013,PERSONAL CARE,96,0
28/10/2013,PET SUPPLIES,0,0
28/10/2013,PLAYERS AND ELECTRONICS,0,0
28/10/2013,POULTRY,261.001,0
28/10/2013,PREPARED FOODS,76.829,0
28/10/2013,PRODUCE,0,0
28/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
28/10/2013,SEAFOOD,20.2,0
29/10/2013,AUTOMOTIVE,4,0
29/10/2013,BABY CARE,0,0
29/10/2013,BEAUTY,4,0
29/10/2013,BEVERAGES,890,0
29/10/2013,BOOKS,0,0
29/10/2013,BREAD/BAKERY,274.012,0
29/10/2013,CELEBRATION,0,0
29/10/2013,CLEANING,634,0
29/10/2013,DAIRY,418,0
29/10/2013,DELI,75.372,0
29/10/2013,EGGS,140,0
29/10/2013,FROZEN FOODS,129,0
29/10/2013,GROCERY I,2231,0
29/10/2013,GROCERY II,10,0
29/10/2013,HARDWARE,4,0
29/10/2013,HOME AND KITCHEN I,0,0
29/10/2013,HOME AND KITCHEN II,0,0
29/10/2013,HOME APPLIANCES,0,0
29/10/2013,HOME CARE,0,0
29/10/2013,LADIESWEAR,0,0
29/10/2013,LAWN AND GARDEN,3,0
29/10/2013,LINGERIE,12,0
29/10/2013,"LIQUOR,WINE,BEER",89,0
29/10/2013,MAGAZINES,0,0
29/10/2013,MEATS,460.876,0
29/10/2013,PERSONAL CARE,93,0
29/10/2013,PET SUPPLIES,0,0
29/10/2013,PLAYERS AND ELECTRONICS,0,0
29/10/2013,POULTRY,140.196,0
29/10/2013,PREPARED FOODS,94.084,0
29/10/2013,PRODUCE,0,0
29/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
29/10/2013,SEAFOOD,33.736,0
30/10/2013,AUTOMOTIVE,2,0
30/10/2013,BABY CARE,0,0
30/10/2013,BEAUTY,3,0
30/10/2013,BEVERAGES,830,0
30/10/2013,BOOKS,0,0
30/10/2013,BREAD/BAKERY,343.456,0
30/10/2013,CELEBRATION,0,0
30/10/2013,CLEANING,712,0
30/10/2013,DAIRY,488,0
30/10/2013,DELI,74.276,0
30/10/2013,EGGS,178,0
30/10/2013,FROZEN FOODS,89.47,0
30/10/2013,GROCERY I,2374,0
30/10/2013,GROCERY II,10,0
30/10/2013,HARDWARE,2,0
30/10/2013,HOME AND KITCHEN I,0,0
30/10/2013,HOME AND KITCHEN II,0,0
30/10/2013,HOME APPLIANCES,0,0
30/10/2013,HOME CARE,0,0
30/10/2013,LADIESWEAR,0,0
30/10/2013,LAWN AND GARDEN,6,0
30/10/2013,LINGERIE,36,0
30/10/2013,"LIQUOR,WINE,BEER",105,0
30/10/2013,MAGAZINES,0,0
30/10/2013,MEATS,262.888,0
30/10/2013,PERSONAL CARE,98,0
30/10/2013,PET SUPPLIES,0,0
30/10/2013,PLAYERS AND ELECTRONICS,0,0
30/10/2013,POULTRY,120.670006,0
30/10/2013,PREPARED FOODS,84.134,0
30/10/2013,PRODUCE,2,0
30/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
30/10/2013,SEAFOOD,25.086,0
31/10/2013,AUTOMOTIVE,0,0
31/10/2013,BABY CARE,0,0
31/10/2013,BEAUTY,2,0
31/10/2013,BEVERAGES,764,0
31/10/2013,BOOKS,0,0
31/10/2013,BREAD/BAKERY,252.345,0
31/10/2013,CELEBRATION,0,0
31/10/2013,CLEANING,631,0
31/10/2013,DAIRY,376,0
31/10/2013,DELI,93.291,0
31/10/2013,EGGS,131,0
31/10/2013,FROZEN FOODS,112,0
31/10/2013,GROCERY I,1833,0
31/10/2013,GROCERY II,19,0
31/10/2013,HARDWARE,0,0
31/10/2013,HOME AND KITCHEN I,0,0
31/10/2013,HOME AND KITCHEN II,0,0
31/10/2013,HOME APPLIANCES,0,0
31/10/2013,HOME CARE,0,0
31/10/2013,LADIESWEAR,0,0
31/10/2013,LAWN AND GARDEN,0,0
31/10/2013,LINGERIE,12,0
31/10/2013,"LIQUOR,WINE,BEER",72,0
31/10/2013,MAGAZINES,0,0
31/10/2013,MEATS,444.407,0
31/10/2013,PERSONAL CARE,100,0
31/10/2013,PET SUPPLIES,0,0
31/10/2013,PLAYERS AND ELECTRONICS,0,0
31/10/2013,POULTRY,161.589,0
31/10/2013,PREPARED FOODS,97.034,0
31/10/2013,PRODUCE,7,0
31/10/2013,SCHOOL AND OFFICE SUPPLIES,0,0
31/10/2013,SEAFOOD,29.982,0
01/11/2013,AUTOMOTIVE,3,0
01/11/2013,BABY CARE,0,0
01/11/2013,BEAUTY,0,0
01/11/2013,BEVERAGES,990,0
01/11/2013,BOOKS,0,0
01/11/2013,BREAD/BAKERY,353.73,0
01/11/2013,CELEBRATION,0,0
01/11/2013,CLEANING,725,0
01/11/2013,DAIRY,503,0
01/11/2013,DELI,137.828,0
01/11/2013,EGGS,165,0
01/11/2013,FROZEN FOODS,163,0
01/11/2013,GROCERY I,2256,0
01/11/2013,GROCERY II,20,0
01/11/2013,HARDWARE,3,0
01/11/2013,HOME AND KITCHEN I,0,0
01/11/2013,HOME AND KITCHEN II,0,0
01/11/2013,HOME APPLIANCES,0,0
01/11/2013,HOME CARE,0,0
01/11/2013,LADIESWEAR,0,0
01/11/2013,LAWN AND GARDEN,3,0
01/11/2013,LINGERIE,5,0
01/11/2013,"LIQUOR,WINE,BEER",176,0
01/11/2013,MAGAZINES,0,0
01/11/2013,MEATS,823.577,0
01/11/2013,PERSONAL CARE,92,0
01/11/2013,PET SUPPLIES,0,0
01/11/2013,PLAYERS AND ELECTRONICS,0,0
01/11/2013,POULTRY,529.427,0
01/11/2013,PREPARED FOODS,53.39,0
01/11/2013,PRODUCE,7,0
01/11/2013,SCHOOL AND OFFICE SUPPLIES,0,0
01/11/2013,SEAFOOD,36.155,0
02/11/2013,AUTOMOTIVE,4,0
02/11/2013,BABY CARE,0,0
02/11/2013,BEAUTY,2,0
02/11/2013,BEVERAGES,1030,0
02/11/2013,BOOKS,0,0
02/11/2013,BREAD/BAKERY,254.201,0
02/11/2013,CELEBRATION,0,0
02/11/2013,CLEANING,497,0
02/11/2013,DAIRY,419,0
02/11/2013,DELI,103.303,0
02/11/2013,EGGS,138,0
02/11/2013,FROZEN FOODS,111,0
02/11/2013,GROCERY I,1894,0
02/11/2013,GROCERY II,18,0
02/11/2013,HARDWARE,0,0
02/11/2013,HOME AND KITCHEN I,0,0
02/11/2013,HOME AND KITCHEN II,0,0
02/11/2013,HOME APPLIANCES,0,0
02/11/2013,HOME CARE,0,0
02/11/2013,LADIESWEAR,0,0
02/11/2013,LAWN AND GARDEN,16,0
02/11/2013,LINGERIE,13,0
02/11/2013,"LIQUOR,WINE,BEER",147,0
02/11/2013,MAGAZINES,0,0
02/11/2013,MEATS,205.757,0
02/11/2013,PERSONAL CARE,85,0
02/11/2013,PET SUPPLIES,0,0
02/11/2013,PLAYERS AND ELECTRONICS,0,0
02/11/2013,POULTRY,108.568,0
02/11/2013,PREPARED FOODS,65,0
02/11/2013,PRODUCE,7,0
